amphoe_id;id;th_name;en_name;zipcode_main;zipcode_all;zipcode_remark;
4618;461801;ฆ้องชัยพัฒนา;Khong Chai Phatthana;46130;46130;;
4618;461802;เหล่ากลาง;Lao Klang;46130;46130;;
4618;461803;โคกสะอาด;Khok Sa-at;46130;46130;;
4618;461804;โนนศิลาเลิง;Non Sila Loeng;46130;46130;;
4618;461805;ลำชี;Lam Chi;46130;46130;;
4701;470101;ธาตุเชิงชุม;That Choeng Chum;47000;47000;;
4701;470102;ขมิ้น;Khamin;47220;47220;;
4701;470103;งิ้วด่อน;Ngio Don;47000;47000;;
4701;470104;โนนหอม;Non Hom;47000;47000;;
4701;470106;เชียงเครือ;Chiang Khruea;47000;47000;;
4701;470107;ท่าแร่;Tha Rae;47230;47230;;
4701;470109;ม่วงลาย;Muang Lai;47000;47000;;
4701;470111;ดงชน;Dong Chon;47000;47000;;
4701;470112;ห้วยยาง;Huai Yang;47000;47000;;
4701;470113;พังขว้าง;Phang Khwang;47000;47000;;
4701;470115;ดงมะไฟ;Dong Mafai;47000;47000;;
4701;470116;ธาตุนาเวง;That Na Weng;47000;47000;;
4701;470117;เหล่าปอแดง;Lao Po Daeng;47000;47000;;
4701;470118;หนองลาด;Nong Lat;47220;47220;;
4701;470120;ฮางโฮง;Hang Hong;47000;47000;;
4701;470121;โคกก่อง;Khok Kong;47000;47000;;
4702;470201;กุสุมาลย์;Kusuman;47210;47210;;
4702;470202;นาโพธิ์;Na Pho;47210;47210;;
4702;470203;นาเพียง;Na Phiang;47230;47230;;
4702;470204;โพธิไพศาล;Phothiphaisan;47210;47210;;
4702;470205;อุ่มจาน;Um Chan;47230;47230;;
4703;470301;กุดบาก;Kut Bak;47180;47180;;
4703;470303;นาม่อง;Na Mong;47180;47180;;
4703;470305;กุดไห;Kut Hai;47180;47180;;
4704;470401;พรรณา;Phanna;47130;47130;;
4704;470402;วังยาง;Wang Yang;47130;47130;;
4704;470403;พอกน้อย;Phok Noi;47220;47220;;
4704;470404;นาหัวบ่อ;Na Hua Bo;47220;47220;;
4704;470405;ไร่;Rai;47130;47130;;
4704;470406;ช้างมิ่ง;Chang Ming;47130;47130;;
4704;470407;นาใน;Na Nai;47130;47130;;
4704;470408;สว่าง;Sawang;47130;47130;;
4704;470409;บะฮี;Ba Hi;47130;47130;;
4704;470410;เชิงชุม;Choeng Chum;47130;47130;;
4705;470501;พังโคน;Phang Khon;47160;47160;;
4705;470502;ม่วงไข่;Muang Khai;47160;47160;;
4705;470503;แร่;Rae;47160;47160;;
4705;470504;ไฮหย่อง;Hai Yong;47160;47160;;
4705;470505;ต้นผึ้ง;Ton Phueng;47160;47160;;
4706;470601;วาริชภูมิ;Waritchaphum;47150;47150;;
4706;470602;ปลาโหล;Pla Lo;47150;47150;;
4706;470603;หนองลาด;Nong Lat;47150;47150;;
4706;470604;คำบ่อ;Kham Bo;47150;47150;;
4706;470605;ค้อเขียว;Kho Khiao;47150;47150;;
4707;470701;นิคมน้ำอูน;Nikhom Nam Un;47270;47270;;
4707;470702;หนองปลิง;Nong Pling;47270;47270;;
4707;470703;หนองบัว;Nong Bua;47270;47270;;
4707;470704;สุวรรณคาม;Suwannakham;47270;47270;;
4708;470801;วานรนิวาส;Wanon Niwat;47120;47120;;
4708;470802;เดื่อศรีคันไชย;Duea Si Khan Chai;47120;47120;;
4708;470803;ขัวก่าย;Khua Kai;47120;47120;;
4708;470804;หนองสนม;Nong Sanom;47120;47120;;
4708;470805;คูสะคาม;Khu Sakham;47120;47120;;
4708;470806;ธาตุ;That;47120;47120;;
4708;470807;หนองแวง;Nong Waeng;47120;47120;;
4708;470808;ศรีวิชัย;Si Wichai;47120;47120;;
4708;470809;นาซอ;Na So;47120;47120;;
4708;470810;อินทร์แปลง;In Plaeng;47120;47120;;
4708;470811;นาคำ;Na Kham;47120;47120;;
4708;470812;คอนสวรรค์;Khon Sawan;47120;47120;;
4708;470813;กุดเรือคำ;Kut Ruea Kham;47120;47120;;
4708;470814;หนองแวงใต้;Nong Waeng Tai;47120;47120;;
4709;470901;คำตากล้า;Kham Ta Kla;47250;47250;;
4709;470902;หนองบัวสิม;Nong Bua Sim;47250;47250;;
4709;470903;นาแต้;Na Tae;47250;47250;;
4709;470904;แพด;Phaet;47250;47250;;
4710;471001;ม่วง;Muang;47140;47140;;
4710;471002;มาย;Mai;47140;47140;;
4710;471003;ดงหม้อทอง;Dong Mo Thong;47140;47140;;
4710;471004;ดงเหนือ;Dong Nuea;47140;47140;;
4710;471005;ดงหม้อทองใต้;Dong Mo Thong Tai;47140;47140;;
4710;471006;ห้วยหลัว;Huai Lua;47140;47140;;
4710;471007;โนนสะอาด;Non Sa-at;47140;47140;;
4710;471008;หนองกวั่ง;Nong Kwang;47140;47140;;
4710;471009;บ่อแก้ว;Bo Kaeo;47140;47140;;
4711;471101;อากาศ;Akat;47170;47170;;
4711;471102;โพนแพง;Phon Phaeng;47170;47170;;
4711;471103;วาใหญ่;Wa Yai;47170;47170;;
4711;471104;โพนงาม;Phon Ngam;47170;47170;;
4711;471105;ท่าก้อน;Tha Kon;47170;47170;;
4711;471106;นาฮี;Na Hi;47170;47170;;
4711;471107;บะหว้า;Ba Wa;47170;47170;;
4711;471108;สามัคคีพัฒนา;Samakkhi Phatthana;47170;47170;;
4712;471201;สว่างแดนดิน;Sawang Daen Din;47110;47110;;
4712;471203;คำสะอาด;Kham Sa-at;47110;47110;;
4712;471204;บ้านต้าย;Ban Tai;47110;47110;;
4712;471206;บงเหนือ;Bong Nuea;47110;47110;;
4712;471207;โพนสูง;Phon Sung;47110;47110;;
4712;471208;โคกสี;Khok Si;47110;47110;;
4712;471210;หนองหลวง;Nong Luang;47110;47110;;
4712;471211;บงใต้;Bong Tai;47110;47110;;
4712;471212;ค้อใต้;Kho Tai;47110;47110;;
4712;471213;พันนา;Phan Na;47240;47240;;
4712;471214;แวง;Waeng;47240;47240;;
4712;471215;ทรายมูล;Sai Mun;47110;47110;;
4712;471216;ตาลโกน;Tan Kon;47240;47240;;
4712;471217;ตาลเนิ้ง;Tan Noeng;47240;47240;;
4712;471220;ธาตุทอง;That Thong;47240;47240;;
4712;471221;บ้านถ่อน;Ban Thon;47110;47110;;
4713;471301;ส่องดาว;Song Dao;47190;47190;;
4713;471302;ท่าศิลา;Tha Sila;47190;47190;;
4713;471303;วัฒนา;Watthana;47190;47190;;
4713;471304;ปทุมวาปี;Pathum Wapi;47190;47190;;
4714;471401;เต่างอย;Tao Ngoi;47260;47260;;
4714;471402;บึงทวาย;Bueng Thawai;47260;47260;;
4714;471403;นาตาล;Na Tan;47260;47260;;
4714;471404;จันทร์เพ็ญ;Chan Phen;47260;47260;;
4715;471501;ตองโขบ;Tong Khop;47280;47280;;
4715;471502;เหล่าโพนค้อ;Lao Phon Kho;47280;47280;;
4715;471503;ด่านม่วงคำ;Dan Muang Kham;47280;47280;;
4715;471504;แมดนาท่ม;Maet Na Thom;47280;47280;;
4716;471601;บ้านเหล่า;Ban Lao;47290;47290;;
4716;471602;เจริญศิลป์;Charoen Sin;47290;47290;;
4716;471603;ทุ่งแก;Thung Kae;47290;47290;;
4716;471604;โคกศิลา;Khok Sila;47290;47290;;
4716;471605;หนองแปน;Nong Paen;47290;47290;;
4717;471701;บ้านโพน;Ban Phon;47230;47230;;
4717;471702;นาแก้ว;Na Kaeo;47230;47230;;
4717;471703;นาตงวัฒนา;Na Tong Watthana;47230;47230;;
4717;471704;บ้านแป้น;Ban Paen;47230;47230;;
4717;471705;เชียงสือ;Chiang Sue;47230;47230;;
4718;471801;สร้างค้อ;Sang Kho;47180;47180;;
4718;471802;หลุบเลา;Lup Lao;47180;47180;;
4718;471803;โคกภู;Khok Phu;47180;47180;;
4718;471804;กกปลาซิว;Kok Pla Sio;47180;47180;;
4801;480101;ในเมือง;Nai Mueang;48000;48000;;
4801;480102;หนองแสง;Nong Saeng;48000;48000;;
4801;480103;นาทราย;Na Sai;48000;48000;;
4801;480104;นาราชควาย;Na Rat Khwai;48000;48000;;
4801;480105;กุรุคุ;Kurukhu;48000;48000;;
4801;480106;บ้านผึ้ง;Ban Phueng;48000;48000;;
4801;480107;อาจสามารถ;At Samat;48000;48000;;
4801;480108;ขามเฒ่า;Kham Thao;48000;48000;;
4801;480109;บ้านกลาง;Ban Klang;48000;48000;;
4801;480110;ท่าค้อ;Tha Kho;48000;48000;;
4801;480111;คำเตย;Kham Toei;48000;48000;;
4801;480112;หนองญาติ;Nong Yat;48000;48000;;
4801;480113;ดงขวาง;Dong Khwang;48000;48000;;
4801;480114;วังตามัว;Wang Ta Mua;48000;48000;;
4801;480115;โพธิ์ตาก;Pho Tak;48000;48000;;
4802;480201;ปลาปาก;Pla Pak;48160;48160;;
4802;480202;หนองฮี;Nong Hi;48160;48160;;
4802;480203;กุตาไก้;Kutakai;48160;48160;;
4802;480204;โคกสว่าง;Khok Sawang;48160;48160;;
4802;480205;โคกสูง;Khok Sung;48160;48160;;
4802;480206;มหาชัย;Maha Chai;48160;48160;;
4802;480207;นามะเขือ;Na Makhuea;48160;48160;;
4802;480208;หนองเทาใหญ่;Nong Thao Yai;48160;48160;;
4803;480301;ท่าอุเทน;Tha Uthen;48120;48120;;
4803;480302;โนนตาล;Non Tan;48120;48120;;
4803;480303;ท่าจำปา;Tha Champa;48120;48120;;
4803;480304;ไชยบุรี;Chaiburi;48120;48120;;
4803;480305;พนอม;Phanom;48120;48120;;
4803;480306;พะทาย;Phathai;48120;48120;;
4803;480311;เวินพระบาท;Woen Phrabat;48120;48120;;
4803;480312;รามราช;Ram Rat;48120;48120;;
4803;480314;หนองเทา;Nong Thao;48120;48120;;
4804;480401;บ้านแพง;Ban Phaeng;48140;48140;;
4804;480402;ไผ่ล้อม;Phai Lom;48140;48140;;
4804;480403;โพนทอง;Phon Thong;48140;48140;;
4804;480404;หนองแวง;Nong Waeng;48140;48140;;
4804;480408;นางัว;Na Ngua;48140;48140;;
4804;480409;นาเข;Na Khe;48140;48140;;
4805;480501;ธาตุพนม;That Phanom;48110;48110;;
4805;480502;ฝั่งแดง;Fang Daeng;48110;48110;;
4805;480503;โพนแพง;Phon Phaeng;48110;48110;;
4805;480504;พระกลางทุ่ง;Phra Klang Thung;48110;48110;;
4805;480505;นาถ่อน;Na Thon;48110;48110;;
4805;480506;แสนพัน;Saen Phan;48110;48110;;
4805;480507;ดอนนางหงส์;Don Nang Hong;48110;48110;;
4805;480508;น้ำก่ำ;Nam Kam;48110;48110;;
4805;480509;อุ่มเหม้า;Um Mao;48110;48110;;
4805;480510;นาหนาด;Na Nat;48110;48110;;
4805;480511;กุดฉิม;Kut Chim;48110;48110;;
4805;480512;ธาตุพนมเหนือ;That Phanom Nuea;48110;48110;;
4806;480601;เรณู;Renu;48170;48170;;
4806;480602;โพนทอง;Phon Thong;48170;48170;;
4806;480603;ท่าลาด;Tha Lat;48170;48170;;
4806;480604;นางาม;Na Ngam;48170;48170;;
4806;480605;โคกหินแฮ่;Khok Hin Hae;48170;48170;;
4806;480607;หนองย่างชิ้น;Nong Yang Chin;48170;48170;;
4806;480608;เรณูใต้;Renu Tai;48170;48170;;
4806;480609;นาขาม;Na Kham;48170;48170;;
4807;480701;นาแก;Na Kae;48130;48130;;
4807;480702;พระซอง;Phra Song;48130;48130;;
4807;480703;หนองสังข์;Nong Sang;48130;48130;;
4807;480704;นาคู่;Na Khu;48130;48130;;
4807;480705;พิมาน;Phiman;48130;48130;;
4807;480706;พุ่มแก;Phum Kae;48130;48130;;
4807;480707;ก้านเหลือง;Kan Lueang;48130;48130;;
4807;480708;หนองบ่อ;Nong Bo;48130;48130;;
4807;480709;นาเลียง;Na Liang;48130;48130;;
4807;480712;บ้านแก้ง;Ban Kaeng;48130;48130;;
4807;480713;คำพี้;Ham Phi;48130;48130;;
4807;480715;สีชมพู;Si Chomphu;48130;48130;;
4808;480801;ศรีสงคราม;Si Songkhram;48150;48150;;
4808;480802;นาเดื่อ;Na Duea;48150;48150;;
4808;480803;บ้านเอื้อง;Ban Ueang;48150;48150;;
4808;480804;สามผง;sam Phong;48150;48150;;
4808;480805;ท่าบ่อสงคราม;Tha Bo Songkhram;48150;48150;;
4808;480806;บ้านข่า;Ban Kha;48150;48150;;
4808;480807;นาคำ;Na Kham;48150;48150;;
4808;480808;โพนสว่าง;Phon Sawang;48150;48150;;
4808;480809;หาดแพง;Hat Phaeng;48150;48150;;
4809;480901;นาหว้า;Na Wa;48180;48180;;
4809;480902;นางัว;Na Ngua;48180;48180;;
4809;480903;บ้านเสียว;Ban Siao;48180;48180;;
4809;480904;นาคูณใหญ่;Na Khun Yai;48180;48180;;
4809;480905;เหล่าพัฒนา;Lao Phatthana;48180;48180;;
4809;480906;ท่าเรือ;Tha Ruea;48180;48180;;
4810;481001;โพนสวรรค์;Phon Sawan;48190;48190;;
4810;481002;นาหัวบ่อ;Na Hua Bo;48190;48190;;
4810;481003;นาขมิ้น;Na Khamin;48190;48190;;
4810;481004;โพนบก;Phon Bok;48190;48190;;
4810;481005;บ้านค้อ;Ban Kho;48190;48190;;
4810;481006;โพนจาน;Phon Chan;48190;48190;;
4810;481007;นาใน;Na Nai;48190;48190;;
4811;481101;นาทม;Na Thom;48140;48140;;
4811;481102;หนองซน;Nong Son;48140;48140;;
4811;481103;ดอนเตย;Don Toei;48140;48140;;
4812;481201;วังยาง;Wang Yang;48130;48130;;
4812;481202;โคกสี;Khok Si;48130;48130;;
4812;481203;ยอดชาด;Yot Chat;48130;48130;;
4812;481204;หนองโพธิ์;Nong Pho;48130;48130;;
4901;490101;มุกดาหาร;Mukdahan;49000;49000;;
4901;490102;ศรีบุญเรือง;Si Bun Rueang;49000;49000;;
4901;490103;บ้านโคก;Ban Khok;49000;49000;;
4901;490104;บางทรายใหญ่;Bang Sai Yai;49000;49000;;
4901;490105;โพนทราย;Phon Sai;49000;49000;;
4901;490106;ผึ่งแดด;Phueng Daet;49000;49000;;
4901;490107;นาโสก;Na Sok;49000;49000;;
4901;490108;นาสีนวน;Na Si Nuan;49000;49000;;
4901;490109;คำป่าหลาย;Kham Pa Lai;49000;49000;;
4901;490110;คำอาฮวน;Kham Ahuan;49000;49000;;
4901;490111;ดงเย็น;Dong Yen;49000;49000;;
4901;490112;ดงมอน;Dong Mon;49000;49000;;
4901;490113;กุดแข้;Kut Khae;49000;49000;;
4902;490201;นิคมคำสร้อย;Nikhom Kham Soi;49130;49130;;
4902;490202;นากอก;Na Kok;49130;49130;;
4902;490203;หนองแวง;Nong Waeng;49130;49130;;
4902;490204;กกแดง;Kok Daeng;49130;49130;;
4902;490205;นาอุดม;Na Udom;49130;49130;;
4902;490206;โชคชัย;Chok Chai;49130;49130;;
4902;490207;ร่มเกล้า;Rom Klao;49130;49130;;
4903;490301;ดอนตาล;Don Tan;49120;49120;;
4903;490302;โพธิ์ไทร;Pho Sai;49120;49120;;
4903;490303;ป่าไร่;Pa Rai;49120;49120;;
4903;490304;เหล่าหมี;Lao Mi;49120;49120;;
4903;490305;บ้านบาก;Ban Bak;49120;49120;;
4903;490306;นาสะเม็ง;Na Sameng;49120;49120;;
4903;490307;บ้านแก้ง;Ban Kaeng;49120;49120;;
4904;490401;ดงหลวง;Dong Luang;49140;49140;;
4904;490402;หนองบัว;Nong Bua;49140;49140;;
4904;490403;กกตูม;Kok Tum;49140;49140;;
4904;490404;หนองแคน;Nong Khaen;49140;49140;;
4904;490405;ชะโนดน้อย;Chanot Noi;49140;49140;;
4904;490406;พังแดง;Phang Daeng;49140;49140;;
4905;490503;บ้านซ่ง;Ban Song;49110;49110;;
4905;490504;คำชะอี;Kham Cha-i;49110;49110;;
4905;490505;หนองเอี่ยน;Nong Ian;49110;49110;;
4905;490506;บ้านค้อ;Ban Kho;49110;49110;;
4905;490507;บ้านเหล่า;Ban Lao;49110;49110;;
4905;490508;โพนงาม;Phon Ngam;49110;49110;;
4905;490511;เหล่าสร้างถ่อ;Lao Sang Tho;49110;49110;;
4905;490512;คำบก;Kham Bok;49110;49110;;
4905;490514;น้ำเที่ยง;Nam Thiang;49110;49110;;
4906;490601;หว้านใหญ่;Wan Yai;49150;49150;;
4906;490602;ป่งขาม;Pong Kham;49150;49150;;
4906;490603;บางทรายน้อย;Bang Sai Noi;49150;49150;;
4906;490604;ชะโนด;Chanot;49150;49150;;
4906;490605;ดงหมู;Dong Mu;49150;49150;;
4907;490701;หนองสูง;Nong Sung;49160;49160;;
4907;490702;โนนยาง;Non Yang;49160;49160;;
4907;490703;ภูวง;Phu Wong;49160;49160;;
4907;490704;บ้านเป้า;Ban Pao;49160;49160;;
4907;490705;หนองสูงใต้;Nong Sung Tai;49160;49160;;
4907;490706;หนองสูงเหนือ;Nong Sung Nuea;49160;49160;;
5001;500101;ศรีภูมิ;Si Phum;50200;50200;;
5001;500102;พระสิงห์;Phra Sing;50200;50200;;
5001;500103;หายยา;Hai Ya;50100;50100;;
5001;500104;ช้างม่อย;Chang Moi;50300;50300;;
5001;500105;ช้างคลาน;Chang Khlan;50100;50100;;
5001;500106;วัดเกต;Wat Ket;50000;50000;;
5001;500107;ช้างเผือก;Chang Phueak;50300;50300;;
5001;500108;สุเทพ;Suthep;50200;50200;;
5001;500109;แม่เหียะ;Mae Hia;50100;50100;;
5001;500110;ป่าแดด;Pa Daet;50100;50100;;
5001;500111;หนองหอย;Nong Hoi;50000;50000;;
5001;500112;ท่าศาลา;Tha Sala;50000;50000;;
5001;500113;หนองป่าครั่ง;Nong Pa Khrang;50000;50000;;
5001;500114;ฟ้าฮ่าม;Fa Ham;50000;50000;;
5001;500115;ป่าตัน;Pa Tan;50300;50300;;
5001;500116;สันผีเสื้อ;San Phi Suea;50300;50290/50300;บ้านจัดสรรชัยพฤกษ์ในหมู่ที่ 1 ใช้รหัส 50290;
5002;500203;บ้านหลวง;Ban Luang;50160;50160;;
5002;500204;ข่วงเปา;Khuang Pao;50160;50160;;
5002;500205;สบเตี๊ยะ;Sop Tia;50160;50160;;
