TambonID;TambonThaiShort;TambonEngShort;PostCodeMain;PostCodeAll;PostalCodeRemark;DistrictID;DistrictThaiShort;DistrictEngShort;ProvinceID;ProvinceThai;ProvinceEng;ภูมิภาคอย่างเป็นทางการ
101102;คลองสองต้นนุ่น;Khlong Song Ton Nun;10520;10520;;1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101103;คลองสามประเวศ;Khlong Sam Prawet;10520;10520;;1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101104;ลำปลาทิว;Lam Pla Thio;10520;10520;;1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101105;ทับยาว;Thap Yao;10520;10520;;1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101106;ขุมทอง;Khum Thong;10520;10520;;1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101203;ช่องนนทรี;Chong Nonsi;10120;10120;;1012;ยานนาวา;Yan Nawa;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101204;บางโพงพาง;Bang Phongphang;10120;10120;;1012;ยานนาวา;Yan Nawa;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101301;จักรวรรดิ;Chakkrawat;10100;10100;;1013;สัมพันธวงศ์;Samphanthawong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101302;สัมพันธวงศ์;Samphanthawong;10100;10100;;1013;สัมพันธวงศ์;Samphanthawong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101303;ตลาดน้อย;Talat Noi;10100;10100;;1013;สัมพันธวงศ์;Samphanthawong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101401;สามเสนใน;Sam Sen Nai;10400;10400;;1014;พญาไท;Phaya Thai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101406;พญาไท;Phaya Thai;10400;10400;;1014;พญาไท;Phaya Thai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101501;วัดกัลยาณ์;Wat Kanlaya;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101502;หิรัญรูจี;Hiran Ruchi;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101503;บางยี่เรือ;Bang Yi Ruea;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101504;บุคคโล;Bukkhalo;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101505;ตลาดพลู;Talat Phlu;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101506;ดาวคะนอง;Dao Khanong;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101507;สำเหร่;Samre;10600;10600;;1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101601;วัดอรุณ;Wat Arun;10600;10600;;1016;บางกอกใหญ่;Bangkok Yai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101602;วัดท่าพระ;Wat Tha Phra;10600;10600;;1016;บางกอกใหญ่;Bangkok Yai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101701;ห้วยขวาง;Huai Khwang;10310;10310;;1017;ห้วยขวาง;Huai Khwang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101702;บางกะปิ;Bang Kapi;10310;10310;;1017;ห้วยขวาง;Huai Khwang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101704;สามเสนนอก;Sam Sen Nok;10310;10310;;1017;ห้วยขวาง;Huai Khwang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101801;สมเด็จเจ้าพระยา;Somdet Chao Phraya;10600;10600;;1018;คลองสาน;Khlong San;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101802;คลองสาน;Khlong San;10600;10600;;1018;คลองสาน;Khlong San;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101803;บางลำภูล่าง;Bang Lamphu Lang;10600;10600;;1018;คลองสาน;Khlong San;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101804;คลองต้นไทร;Khlong Ton Sai;10600;10600;;1018;คลองสาน;Khlong San;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101901;คลองชักพระ;Khlong Chak Phra;10170;10170;;1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
